dis,year,month,mday,hour,min,sec,wday,yday
92.59285,2023,12,12,10,41,11,0,346
85.8529,2023,12,12,10,44,4,0,346
80.24486,2023,12,12,10,49,17,0,346
88.51115,2023,12,12,10,49,41,0,346
81.95985,2023,12,12,10,49,44,0,346
80.24486,2023,12,12,10,49,47,0,346
66.45625,2023,12,12,10,50,24,0,346
49.5292,2023,12,12,10,50,26,0,346
71.05245,2023,12,12,10,50,30,0,346
45.3789,2023,12,12,10,52,53,0,346
73.7107,2023,12,12,10,57,17,0,346
98.74969,2023,12,12,11,2,17,0,346
56.2177,2023,12,12,11,5,57,0,346
88.4254,2023,12,12,11,6,23,0,346
84.84105,2023,12,12,11,7,48,0,346
63.33495,2023,12,12,11,7,50,0,346
86.4703,2023,12,12,11,8,5,0,346
78.204,2023,12,12,11,10,28,0,346
59.73345,2023,12,12,11,10,31,0,346
78.1354,2023,12,12,11,10,47,0,346
54.6399,2023,12,12,11,12,10,0,346
85.9215,2023,12,12,11,12,29,0,346
99.76154,2023,12,12,11,12,39,0,346
68.4285,2023,12,12,11,12,40,0,346
70.14349,2023,12,12,11,12,41,0,346
75.1856,2023,12,12,11,12,42,0,346
57.1095,2023,12,12,11,12,43,0,346
15.1606,2023,12,12,11,12,46,0,346
6.84285,2023,12,12,11,12,47,0,346
5.88245,2023,12,12,11,12,48,0,346
6.4141,2023,12,12,11,12,49,0,346
7.391649,2023,12,12,11,12,50,0,346
9.5011,2023,12,12,11,12,51,0,346
7.4088,2023,12,12,11,12,52,0,346
50.02655,2023,12,12,11,12,53,0,346
52.5133,2023,12,12,11,13,0,0,346
73.0933,2023,12,12,11,13,8,0,346
72.5102,2023,12,12,11,13,23,0,346
45.4132,2023,12,12,11,20,57,0,346
57.70975,2023,12,12,11,21,5,0,346
34.14565,2023,12,13,7,59,43,1,347
85.35556,2023,12,13,7,59,53,1,347
95.71415,2023,12,13,8,0,52,1,347
62.34025,2023,12,13,8,1,23,1,347
50.9698,2023,12,13,8,1,24,1,347
65.29005,2023,12,13,8,1,25,1,347
78.1354,2023,12,13,8,1,26,1,347
70.0406,2023,12,13,8,1,27,1,347
70.0406,2023,12,13,8,1,29,1,347
